OrderID,ProductID,ProductName,Category,QuantitySold,SellingPrice,DateOfSale,CustomerID,CustomerName,ContactEmail,PhoneNumber,DeliveryAddress,DeliveryDate,DeliveryStatus,Platform,CouponUsed,ReturnWindow
FLI-359348,PID-3467,Shoes,Fashion,1,887.69,2023-01-15,CUST-3762,Taylor,customer313@example.com,+91-8594228131,"285 Street, City-96, State-30",2023-01-19,Cancelled,Flipkart,TRUE,11
FLI-673413,PID-9613,Headphones,Books,9,696.63,2023-01-16,CUST-8935,Jane,customer417@example.com,+91-7498225622,"90 Street, City-29, State-21",2023-01-20,In Transit,Flipkart,FALSE,8
FLI-423399,PID-5049,Laptop,Accessories,5,311.52,2023-01-17,CUST-5720,Alex,customer939@example.com,+91-7714826250,"397 Street, City-70, State-15",2023-01-21,In Transit,Flipkart,TRUE,22
FLI-421785,PID-8986,Laptop,Electronics,6,382,2023-01-18,CUST-6453,John,customer911@example.com,+91-9220296783,"423 Street, City-40, State-26",2023-01-22,Delivered,Flipkart,FALSE,21
FLI-249935,PID-9745,Shoes,Fashion,4,628.65,2023-01-19,CUST-8326,Alex,customer88@example.com,+91-9866485280,"289 Street, City-66, State-17",2023-01-23,Delivered,Flipkart,FALSE,11
FLI-740433,PID-2647,Shoes,Fashion,3,394.47,2023-01-20,CUST-4992,Alex,customer189@example.com,+91-8130677414,"158 Street, City-2, State-6",2023-01-24,In Transit,Flipkart,TRUE,7
FLI-629901,PID-3568,Phone,Fashion,10,493.2,2023-01-21,CUST-4823,Sam,customer831@example.com,+91-9188455829,"203 Street, City-60, State-2",2023-01-25,Cancelled,Flipkart,FALSE,28
FLI-306886,PID-2449,Laptop,Accessories,10,721.51,2023-01-22,CUST-2229,Sam,customer269@example.com,+91-8973130525,"39 Street, City-49, State-24",2023-01-26,Cancelled,Flipkart,FALSE,17
FLI-930279,PID-1433,Phone,Fashion,3,403.21,2023-01-23,CUST-3973,John,customer846@example.com,+91-9188877695,"147 Street, City-30, State-19",2023-01-27,In Transit,Flipkart,FALSE,14
FLI-483576,PID-1867,Watch,Fashion,7,164.78,2023-01-24,CUST-4994,Alex,customer896@example.com,+91-7489529233,"76 Street, City-33, State-1",2023-01-28,In Transit,Flipkart,FALSE,30
FLI-740439,PID-8203,Phone,Books,4,414.66,2023-01-25,CUST-2097,Alex,customer482@example.com,+91-9458724112,"483 Street, City-3, State-15",2023-01-29,Delivered,Flipkart,TRUE,13
FLI-294367,PID-5176,Headphones,Fashion,3,725.1,2023-01-26,CUST-8891,Taylor,customer378@example.com,+91-7119913225,"212 Street, City-77, State-15",2023-01-30,In Transit,Flipkart,FALSE,8
FLI-684942,PID-6187,Book,Fashion,1,373.42,2023-01-27,CUST-2440,John,customer202@example.com,+91-7973108248,"424 Street, City-18, State-26",2023-01-31,Cancelled,Flipkart,TRUE,24
FLI-812170,PID-3944,Headphones,Fashion,9,699.98,2023-01-28,CUST-9137,Chris,customer170@example.com,+91-8539143288,"398 Street, City-64, State-13",2023-02-01,In Transit,Flipkart,TRUE,17
FLI-948173,PID-5861,Watch,Accessories,9,850.08,2023-01-29,CUST-1423,Alex,customer196@example.com,+91-9305489489,"186 Street, City-100, State-26",2023-02-02,In Transit,Flipkart,TRUE,25
FLI-234398,PID-1415,Phone,Accessories,6,643.17,2023-01-30,CUST-2351,Sam,customer868@example.com,+91-8305163211,"471 Street, City-74, State-30",2023-02-03,Delivered,Flipkart,FALSE,23
FLI-742630,PID-5047,Shoes,Electronics,8,377.85,2023-01-31,CUST-7659,Sam,customer107@example.com,+91-7719391188,"197 Street, City-31, State-6",2023-02-04,In Transit,Flipkart,FALSE,24
FLI-301379,PID-7407,Laptop,Fashion,7,722.24,2023-02-01,CUST-5942,John,customer832@example.com,+91-7069852327,"257 Street, City-6, State-11",2023-02-05,In Transit,Flipkart,FALSE,26
FLI-929016,PID-7028,Laptop,Electronics,4,957.46,2023-02-02,CUST-7566,Chris,customer263@example.com,+91-8125931820,"366 Street, City-88, State-22",2023-02-06,Delivered,Flipkart,FALSE,11
FLI-255656,PID-8239,Shoes,Accessories,1,949.82,2023-02-03,CUST-5827,Chris,customer732@example.com,+91-7247206544,"114 Street, City-85, State-25",2023-02-07,Cancelled,Flipkart,FALSE,25
FLI-952620,PID-5677,Watch,Electronics,9,723.16,2023-02-04,CUST-5863,Chris,customer510@example.com,+91-8038822987,"7 Street, City-85, State-8",2023-02-08,Delivered,Flipkart,FALSE,12
FLI-233788,PID-1613,Shoes,Electronics,5,925.09,2023-02-05,CUST-7801,Chris,customer690@example.com,+91-9654611682,"260 Street, City-22, State-5",2023-02-09,Delivered,Flipkart,FALSE,19
FLI-893199,PID-8759,Phone,Fashion,1,154.16,2023-02-06,CUST-5700,Sam,customer186@example.com,+91-7687104305,"226 Street, City-33, State-27",2023-02-10,In Transit,Flipkart,TRUE,14
FLI-317121,PID-1603,Book,Electronics,1,528.88,2023-02-07,CUST-9115,John,customer855@example.com,+91-8900233561,"487 Street, City-92, State-26",2023-02-11,Delivered,Flipkart,TRUE,15
FLI-522116,PID-7125,Phone,Books,7,477.44,2023-02-08,CUST-1313,Sam,customer587@example.com,+91-8714681937,"364 Street, City-97, State-26",2023-02-12,Delivered,Flipkart,TRUE,18
FLI-306608,PID-2874,Shoes,Books,5,153.15,2023-02-09,CUST-2138,Taylor,customer442@example.com,+91-8993324704,"379 Street, City-71, State-24",2023-02-13,Delivered,Flipkart,FALSE,18
FLI-770187,PID-1628,Headphones,Accessories,8,526.2,2023-02-10,CUST-1799,Chris,customer493@example.com,+91-9896644867,"243 Street, City-10, State-2",2023-02-14,In Transit,Flipkart,TRUE,25
FLI-288112,PID-6925,Shoes,Books,5,946.48,2023-02-11,CUST-9463,Taylor,customer16@example.com,+91-7267094701,"216 Street, City-1, State-7",2023-02-15,Cancelled,Flipkart,FALSE,30
FLI-667210,PID-2861,Laptop,Books,9,646.75,2023-02-12,CUST-2363,Alex,customer953@example.com,+91-8206237198,"396 Street, City-98, State-24",2023-02-16,Delivered,Flipkart,TRUE,19
FLI-647076,PID-9181,Phone,Electronics,1,317.26,2023-02-13,CUST-4042,John,customer728@example.com,+91-8388348437,"284 Street, City-31, State-24",2023-02-17,Delivered,Flipkart,TRUE,26
FLI-742511,PID-1816,Headphones,Books,9,652.96,2023-02-14,CUST-9477,Alex,customer329@example.com,+91-8934843784,"281 Street, City-18, State-21",2023-02-18,In Transit,Flipkart,TRUE,29
FLI-974155,PID-9381,Headphones,Books,5,345.52,2023-02-15,CUST-8935,Jane,customer714@example.com,+91-8227509807,"190 Street, City-6, State-3",2023-02-19,In Transit,Flipkart,TRUE,7
FLI-216411,PID-5886,Book,Electronics,1,234.49,2023-02-16,CUST-2272,Taylor,customer122@example.com,+91-7471788582,"470 Street, City-64, State-5",2023-02-20,In Transit,Flipkart,FALSE,13
FLI-494806,PID-2332,Headphones,Books,1,419.35,2023-02-17,CUST-8380,Taylor,customer77@example.com,+91-8555602048,"56 Street, City-30, State-20",2023-02-21,Cancelled,Flipkart,FALSE,7
FLI-750561,PID-6058,Phone,Books,2,830.47,2023-02-18,CUST-7961,John,customer291@example.com,+91-8372290239,"471 Street, City-39, State-28",2023-02-22,Cancelled,Flipkart,FALSE,22
FLI-717064,PID-8489,Watch,Electronics,6,201.2,2023-02-19,CUST-7559,Sam,customer415@example.com,+91-7532458221,"30 Street, City-93, State-13",2023-02-23,In Transit,Flipkart,FALSE,16
FLI-453532,PID-5325,Phone,Books,10,852.47,2023-02-20,CUST-6605,Chris,customer287@example.com,+91-7981192147,"159 Street, City-85, State-28",2023-02-24,In Transit,Flipkart,FALSE,21
FLI-956330,PID-4161,Watch,Accessories,9,674.67,2023-02-21,CUST-9260,John,customer471@example.com,+91-8959218530,"430 Street, City-89, State-4",2023-02-25,In Transit,Flipkart,TRUE,8
FLI-303344,PID-2589,Phone,Accessories,2,581.53,2023-02-22,CUST-8012,John,customer833@example.com,+91-7491795674,"156 Street, City-26, State-23",2023-02-26,In Transit,Flipkart,FALSE,27
FLI-885914,PID-1140,Book,Books,3,108.49,2023-02-23,CUST-8885,Sam,customer529@example.com,+91-7494467355,"69 Street, City-15, State-7",2023-02-27,In Transit,Flipkart,TRUE,10
FLI-535866,PID-6070,Book,Electronics,7,587.11,2023-02-24,CUST-1162,John,customer415@example.com,+91-9564659600,"128 Street, City-96, State-28",2023-02-28,Delivered,Flipkart,TRUE,8
FLI-288426,PID-2296,Book,Electronics,2,654.52,2023-02-25,CUST-8099,Chris,customer237@example.com,+91-7737384903,"254 Street, City-25, State-20",2023-03-01,In Transit,Flipkart,FALSE,22
FLI-468587,PID-7397,Shoes,Accessories,7,726.25,2023-02-26,CUST-4798,Chris,customer625@example.com,+91-7265743000,"34 Street, City-72, State-7",2023-03-02,Delivered,Flipkart,TRUE,21
FLI-244570,PID-8700,Book,Accessories,10,329.58,2023-02-27,CUST-8506,Jane,customer823@example.com,+91-8577114652,"420 Street, City-37, State-8",2023-03-03,Cancelled,Flipkart,TRUE,25
FLI-760824,PID-7856,Book,Books,9,534.61,2023-02-28,CUST-9729,John,customer52@example.com,+91-9874392306,"424 Street, City-99, State-28",2023-03-04,Delivered,Flipkart,TRUE,18
FLI-189871,PID-8191,Watch,Accessories,10,603.74,2023-03-01,CUST-3811,John,customer150@example.com,+91-9754622323,"476 Street, City-71, State-26",2023-03-05,Cancelled,Flipkart,TRUE,21
FLI-491714,PID-6648,Laptop,Books,3,836.88,2023-03-02,CUST-6401,Sam,customer643@example.com,+91-7644800964,"36 Street, City-65, State-5",2023-03-06,Cancelled,Flipkart,FALSE,9
FLI-765378,PID-3841,Headphones,Electronics,3,892.37,2023-03-03,CUST-3646,Alex,customer200@example.com,+91-7392986087,"360 Street, City-4, State-27",2023-03-07,Delivered,Flipkart,FALSE,30
FLI-183204,PID-3111,Headphones,Fashion,7,742.48,2023-03-04,CUST-5101,Chris,customer575@example.com,+91-7752001299,"38 Street, City-78, State-9",2023-03-08,Cancelled,Flipkart,TRUE,27
FLI-679286,PID-1913,Laptop,Fashion,1,573.95,2023-03-05,CUST-7913,John,customer197@example.com,+91-8564669136,"300 Street, City-97, State-5",2023-03-09,In Transit,Flipkart,TRUE,7
FLI-846068,PID-1931,Phone,Electronics,3,344,2023-03-06,CUST-5182,John,customer301@example.com,+91-7547717490,"180 Street, City-12, State-14",2023-03-10,Cancelled,Flipkart,TRUE,14
FLI-238864,PID-6090,Shoes,Fashion,4,604.33,2023-03-07,CUST-8072,Sam,customer868@example.com,+91-8867218177,"15 Street, City-7, State-28",2023-03-11,In Transit,Flipkart,FALSE,24
FLI-626704,PID-1398,Watch,Fashion,4,422.67,2023-03-08,CUST-2337,Alex,customer26@example.com,+91-7271134824,"230 Street, City-23, State-23",2023-03-12,Delivered,Flipkart,FALSE,28
FLI-866509,PID-4861,Watch,Accessories,4,949.54,2023-03-09,CUST-7667,John,customer355@example.com,+91-9499429302,"113 Street, City-52, State-10",2023-03-13,Delivered,Flipkart,TRUE,26
FLI-179266,PID-4828,Phone,Electronics,7,269.27,2023-03-10,CUST-3993,John,customer358@example.com,+91-9761162126,"245 Street, City-7, State-14",2023-03-14,Delivered,Flipkart,FALSE,14
FLI-666189,PID-3447,Laptop,Electronics,4,284.96,2023-03-11,CUST-8984,Chris,customer873@example.com,+91-7689842361,"197 Street, City-66, State-23",2023-03-15,In Transit,Flipkart,FALSE,27
FLI-704977,PID-5745,Laptop,Electronics,9,232.34,2023-03-12,CUST-2340,Taylor,customer328@example.com,+91-9119347408,"90 Street, City-6, State-21",2023-03-16,Cancelled,Flipkart,TRUE,19
FLI-504034,PID-2909,Shoes,Electronics,9,978.73,2023-03-13,CUST-8832,Sam,customer304@example.com,+91-8969786237,"496 Street, City-68, State-22",2023-03-17,In Transit,Flipkart,TRUE,30
FLI-117808,PID-9441,Laptop,Fashion,8,872.76,2023-03-14,CUST-4378,Alex,customer228@example.com,+91-9557351891,"329 Street, City-22, State-2",2023-03-18,Delivered,Flipkart,FALSE,23
FLI-371330,PID-7865,Shoes,Fashion,6,717.85,2023-03-15,CUST-7472,Sam,customer471@example.com,+91-7357862269,"461 Street, City-64, State-26",2023-03-19,In Transit,Flipkart,TRUE,22
FLI-766691,PID-4545,Watch,Books,9,642.46,2023-03-16,CUST-2319,Jane,customer647@example.com,+91-8831114984,"11 Street, City-21, State-20",2023-03-20,Delivered,Flipkart,TRUE,27
FLI-798439,PID-7830,Book,Books,3,736.5,2023-03-17,CUST-9001,Sam,customer767@example.com,+91-8884837013,"100 Street, City-89, State-8",2023-03-21,In Transit,Flipkart,FALSE,8
FLI-990244,PID-2462,Headphones,Electronics,9,495.05,2023-03-18,CUST-5996,Chris,customer297@example.com,+91-7647618338,"386 Street, City-19, State-2",2023-03-22,Delivered,Flipkart,FALSE,10
FLI-784495,PID-1487,Laptop,Fashion,6,720.67,2023-03-19,CUST-7005,Jane,customer931@example.com,+91-8447739120,"227 Street, City-24, State-9",2023-03-23,Delivered,Flipkart,FALSE,11
FLI-496028,PID-8656,Phone,Accessories,2,731.56,2023-03-20,CUST-2453,Alex,customer961@example.com,+91-8307539176,"168 Street, City-70, State-11",2023-03-24,Delivered,Flipkart,FALSE,13
FLI-246093,PID-5358,Laptop,Accessories,5,307.37,2023-03-21,CUST-6623,Alex,customer746@example.com,+91-9252483175,"59 Street, City-29, State-30",2023-03-25,In Transit,Flipkart,TRUE,27
FLI-431791,PID-7963,Watch,Electronics,1,590.96,2023-03-22,CUST-8004,Taylor,customer655@example.com,+91-7013772556,"197 Street, City-33, State-18",2023-03-26,In Transit,Flipkart,FALSE,29
FLI-692577,PID-8613,Headphones,Electronics,2,134.71,2023-03-23,CUST-8329,Jane,customer514@example.com,+91-9270369086,"270 Street, City-46, State-16",2023-03-27,Cancelled,Flipkart,FALSE,8
FLI-915281,PID-6873,Book,Fashion,1,508.07,2023-03-24,CUST-5349,Taylor,customer786@example.com,+91-9958957881,"218 Street, City-70, State-15",2023-03-28,Cancelled,Flipkart,FALSE,14
FLI-648313,PID-8799,Book,Books,3,623.33,2023-03-25,CUST-2396,Taylor,customer928@example.com,+91-9525984748,"382 Street, City-92, State-24",2023-03-29,Delivered,Flipkart,TRUE,8
FLI-271593,PID-8762,Headphones,Books,5,806.3,2023-03-26,CUST-2889,John,customer483@example.com,+91-8601090638,"182 Street, City-81, State-20",2023-03-30,Cancelled,Flipkart,TRUE,25
FLI-751247,PID-6365,Shoes,Books,8,240.49,2023-03-27,CUST-2359,Chris,customer126@example.com,+91-7624781069,"460 Street, City-68, State-12",2023-03-31,Cancelled,Flipkart,FALSE,14
FLI-753880,PID-3012,Shoes,Fashion,6,367.03,2023-03-28,CUST-3391,Sam,customer616@example.com,+91-8970555658,"409 Street, City-60, State-5",2023-04-01,Delivered,Flipkart,FALSE,22
FLI-661588,PID-8551,Watch,Accessories,2,517.61,2023-03-29,CUST-2693,Jane,customer720@example.com,+91-8468276668,"130 Street, City-81, State-1",2023-04-02,Cancelled,Flipkart,FALSE,18
FLI-535089,PID-5635,Phone,Books,6,780.52,2023-03-30,CUST-6689,John,customer258@example.com,+91-9858121568,"318 Street, City-96, State-23",2023-04-03,In Transit,Flipkart,FALSE,14
FLI-410965,PID-8997,Shoes,Accessories,1,679.92,2023-03-31,CUST-9423,Taylor,customer970@example.com,+91-7331892378,"244 Street, City-30, State-30",2023-04-04,Cancelled,Flipkart,TRUE,17
FLI-577172,PID-6119,Book,Accessories,8,659.44,2023-04-01,CUST-5329,Chris,customer224@example.com,+91-7681848333,"176 Street, City-98, State-10",2023-04-05,Cancelled,Flipkart,TRUE,19
FLI-833082,PID-4872,Shoes,Books,5,235.63,2023-04-02,CUST-2881,Chris,customer663@example.com,+91-7856667992,"478 Street, City-73, State-24",2023-04-06,Cancelled,Flipkart,TRUE,28
FLI-794892,PID-5364,Laptop,Accessories,2,346.79,2023-04-03,CUST-3748,Jane,customer41@example.com,+91-8685926263,"160 Street, City-63, State-5",2023-04-07,Cancelled,Flipkart,TRUE,12
FLI-205709,PID-8133,Laptop,Fashion,6,873.71,2023-04-04,CUST-6291,Chris,customer638@example.com,+91-8270129983,"369 Street, City-52, State-21",2023-04-08,Delivered,Flipkart,FALSE,15
FLI-181981,PID-4058,Book,Electronics,8,366.1,2023-04-05,CUST-6175,Jane,customer597@example.com,+91-9349911802,"452 Street, City-69, State-30",2023-04-09,Cancelled,Flipkart,FALSE,17
FLI-486511,PID-3665,Book,Fashion,6,344.05,2023-04-06,CUST-7877,Jane,customer15@example.com,+91-7698454747,"11 Street, City-60, State-2",2023-04-10,Cancelled,Flipkart,FALSE,26
FLI-111865,PID-5412,Book,Electronics,1,328.01,2023-04-07,CUST-5714,Taylor,customer207@example.com,+91-8054097788,"191 Street, City-6, State-24",2023-04-11,In Transit,Flipkart,FALSE,20
FLI-154890,PID-2050,Phone,Electronics,10,938.75,2023-04-08,CUST-6292,John,customer335@example.com,+91-9108224466,"162 Street, City-49, State-15",2023-04-12,In Transit,Flipkart,TRUE,18
FLI-547004,PID-3610,Watch,Accessories,2,200.99,2023-04-09,CUST-6873,Alex,customer117@example.com,+91-9776111644,"320 Street, City-60, State-24",2023-04-13,In Transit,Flipkart,TRUE,23
FLI-955894,PID-2941,Shoes,Electronics,5,524.41,2023-04-10,CUST-1734,Chris,customer340@example.com,+91-9959826252,"488 Street, City-7, State-6",2023-04-14,In Transit,Flipkart,FALSE,12
FLI-784306,PID-1967,Shoes,Electronics,3,915.2,2023-04-11,CUST-5029,Taylor,customer355@example.com,+91-7425943804,"368 Street, City-91, State-13",2023-04-15,Cancelled,Flipkart,TRUE,17
FLI-612069,PID-1523,Headphones,Electronics,4,273.79,2023-04-12,CUST-6762,Sam,customer578@example.com,+91-8542753568,"270 Street, City-7, State-3",2023-04-16,Delivered,Flipkart,FALSE,24
FLI-762488,PID-7435,Shoes,Electronics,8,773.59,2023-04-13,CUST-3985,Alex,customer114@example.com,+91-8269249642,"7 Street, City-12, State-22",2023-04-17,In Transit,Flipkart,FALSE,20
FLI-929373,PID-1748,Shoes,Fashion,4,174.7,2023-04-14,CUST-8285,Chris,customer522@example.com,+91-9027253159,"199 Street, City-23, State-24",2023-04-18,In Transit,Flipkart,TRUE,17
FLI-752660,PID-1523,Watch,Fashion,8,839.3,2023-04-15,CUST-9348,Taylor,customer908@example.com,+91-7463278961,"217 Street, City-18, State-3",2023-04-19,In Transit,Flipkart,FALSE,11
FLI-431128,PID-9138,Headphones,Fashion,2,972.49,2023-04-16,CUST-6246,Alex,customer634@example.com,+91-7163329641,"54 Street, City-93, State-19",2023-04-20,Cancelled,Flipkart,TRUE,24
FLI-135266,PID-6763,Shoes,Accessories,9,339.03,2023-04-17,CUST-3596,Jane,customer308@example.com,+91-8552875208,"299 Street, City-60, State-13",2023-04-21,Cancelled,Flipkart,FALSE,16
FLI-968849,PID-6608,Phone,Fashion,10,879.86,2023-04-18,CUST-5677,Jane,customer957@example.com,+91-7146480209,"85 Street, City-71, State-21",2023-04-22,Delivered,Flipkart,FALSE,22
FLI-973002,PID-5994,Headphones,Books,10,878.42,2023-04-19,CUST-5112,Chris,customer92@example.com,+91-9259356516,"285 Street, City-19, State-30",2023-04-23,In Transit,Flipkart,TRUE,25
FLI-246020,PID-8834,Laptop,Fashion,9,441.98,2023-04-20,CUST-1473,Chris,customer198@example.com,+91-7089969417,"2 Street, City-99, State-1",2023-04-24,In Transit,Flipkart,FALSE,19
FLI-738068,PID-7066,Book,Fashion,6,206.21,2023-04-21,CUST-3015,Taylor,customer210@example.com,+91-9041362240,"7 Street, City-27, State-20",2023-04-25,In Transit,Flipkart,FALSE,29
FLI-967008,PID-3899,Laptop,Books,1,846.97,2023-04-22,CUST-4439,Jane,customer984@example.com,+91-7259003708,"19 Street, City-56, State-1",2023-04-26,Delivered,Flipkart,FALSE,18
FLI-318989,PID-3810,Shoes,Electronics,4,952.73,2023-04-23,CUST-1874,Taylor,customer723@example.com,+91-8659412243,"92 Street, City-68, State-26",2023-04-27,Delivered,Flipkart,FALSE,7
FLI-300045,PID-2108,Watch,Electronics,4,854.14,2023-04-24,CUST-9041,Sam,customer27@example.com,+91-7280953376,"174 Street, City-39, State-5",2023-04-28,In Transit,Flipkart,TRUE,16
FLI-753910,PID-4081,Book,Books,4,444.77,2023-04-25,CUST-7672,Chris,customer724@example.com,+91-7186262853,"489 Street, City-13, State-12",2023-04-29,Cancelled,Flipkart,TRUE,18
FLI-254876,PID-5896,Book,Fashion,2,885.41,2023-04-26,CUST-4905,Taylor,customer4@example.com,+91-9961952357,"158 Street, City-29, State-22",2023-04-30,Delivered,Flipkart,FALSE,20
FLI-800669,PID-1434,Headphones,Electronics,8,589.88,2023-04-27,CUST-4242,John,customer681@example.com,+91-7951943503,"85 Street, City-65, State-14",2023-05-01,Cancelled,Flipkart,FALSE,17
FLI-217846,PID-6618,Book,Fashion,9,526.57,2023-04-28,CUST-7844,Jane,customer996@example.com,+91-8776168791,"26 Street, City-27, State-22",2023-05-02,Delivered,Flipkart,TRUE,21
FLI-421273,PID-2420,Book,Fashion,6,292.06,2023-04-29,CUST-4450,Sam,customer847@example.com,+91-8768912952,"351 Street, City-9, State-22",2023-05-03,In Transit,Flipkart,TRUE,19
FLI-430391,PID-3461,Shoes,Fashion,10,272.52,2023-04-30,CUST-7120,Taylor,customer81@example.com,+91-7317394013,"240 Street, City-30, State-24",2023-05-04,Delivered,Flipkart,TRUE,29
FLI-777700,PID-9860,Phone,Books,6,226.5,2023-05-01,CUST-3823,Sam,customer34@example.com,+91-8149790271,"224 Street, City-69, State-29",2023-05-05,Delivered,Flipkart,TRUE,26
FLI-161128,PID-1178,Watch,Books,2,604.69,2023-05-02,CUST-5240,Chris,customer616@example.com,+91-9062948609,"324 Street, City-82, State-2",2023-05-06,Delivered,Flipkart,FALSE,7
FLI-691550,PID-4515,Book,Books,1,747.86,2023-05-03,CUST-3744,Taylor,customer875@example.com,+91-8689512444,"413 Street, City-75, State-22",2023-05-07,In Transit,Flipkart,TRUE,18
FLI-386260,PID-3369,Headphones,Books,6,936.46,2023-05-04,CUST-9362,Sam,customer280@example.com,+91-7591057913,"61 Street, City-17, State-27",2023-05-08,In Transit,Flipkart,TRUE,25
FLI-932704,PID-6971,Laptop,Books,8,285.53,2023-05-05,CUST-1121,Sam,customer519@example.com,+91-8395700208,"313 Street, City-30, State-28",2023-05-09,Cancelled,Flipkart,FALSE,8
FLI-455313,PID-4232,Laptop,Books,3,349.84,2023-05-06,CUST-2566,Taylor,customer877@example.com,+91-7385684225,"25 Street, City-70, State-30",2023-05-10,Delivered,Flipkart,TRUE,22
FLI-450310,PID-3952,Phone,Books,10,591.51,2023-05-07,CUST-6156,Sam,customer979@example.com,+91-8464076021,"249 Street, City-42, State-18",2023-05-11,In Transit,Flipkart,FALSE,17
FLI-849968,PID-5870,Headphones,Accessories,6,311.76,2023-05-08,CUST-8592,Chris,customer53@example.com,+91-7448133860,"113 Street, City-38, State-5",2023-05-12,In Transit,Flipkart,TRUE,10
FLI-552023,PID-1505,Shoes,Electronics,3,914.41,2023-05-09,CUST-2310,Taylor,customer127@example.com,+91-7704793239,"239 Street, City-99, State-10",2023-05-13,Cancelled,Flipkart,TRUE,15
FLI-623113,PID-2695,Watch,Electronics,7,295.85,2023-05-10,CUST-1739,John,customer280@example.com,+91-9467696463,"335 Street, City-70, State-14",2023-05-14,In Transit,Flipkart,FALSE,19
FLI-354133,PID-1644,Headphones,Accessories,2,330.72,2023-05-11,CUST-9520,Taylor,customer216@example.com,+91-9087497239,"137 Street, City-35, State-13",2023-05-15,Delivered,Flipkart,TRUE,17
FLI-845426,PID-2953,Headphones,Electronics,3,954.56,2023-05-12,CUST-3302,Alex,customer491@example.com,+91-8806689229,"389 Street, City-79, State-22",2023-05-16,In Transit,Flipkart,FALSE,12
FLI-535292,PID-1807,Shoes,Books,2,791.87,2023-05-13,CUST-1015,Taylor,customer826@example.com,+91-7495788487,"341 Street, City-12, State-17",2023-05-17,In Transit,Flipkart,FALSE,22
FLI-344810,PID-4166,Laptop,Accessories,2,637.25,2023-05-14,CUST-8191,Jane,customer907@example.com,+91-7427018953,"57 Street, City-90, State-9",2023-05-18,Delivered,Flipkart,FALSE,17
FLI-147733,PID-1234,Watch,Electronics,7,932.28,2023-05-15,CUST-9896,Alex,customer688@example.com,+91-9638355216,"472 Street, City-31, State-9",2023-05-19,Cancelled,Flipkart,TRUE,21
FLI-855305,PID-1981,Laptop,Books,6,286.31,2023-05-16,CUST-3622,Sam,customer811@example.com,+91-9068471424,"394 Street, City-29, State-3",2023-05-20,Delivered,Flipkart,FALSE,30
